SA,DG,%N,%O,%S,%P,%B,CD,CAP,CONC
837,,,6.76,,1.01,,0.1,183,3
827,,,5.48,,2.34,,0.1,170,3
827,,,5.48,,2.34,,30,92,3
874,,,7.3,,0.85,,30,148,3
681,,2.3,21.14,,4.53,,0.2,187.5,6
681,,2.3,21.14,,4.53,,10,110.5,6
1142,,2.83,22.66,,4.12,,0.2,312.4,6
1142,,2.83,22.66,,4.12,,10,204.4,6
639,,1.82,14.65,,0.92,,0.2,199.5,6
639,,1.82,14.65,,0.92,,10,136,6
858,,,13.8,,2.5,,0.3,203,1
858,,,13.8,,2.5,,0.6,195,1
858,,,13.8,,2.5,,1.3,190,1
858,,,13.8,,2.5,,3,170,1
858,,,13.8,,2.5,,6.3,160,1
858,,,13.8,,2.5,,10,133,1
858,,,13.8,,2.5,,0.2,385,1
858,,,13.8,,2.5,,0.7,250,1
858,,,13.8,,2.5,,1,201,1
858,,,13.8,,2.5,,2,189,1
858,,,13.8,,2.5,,5,173,1
858,,,13.8,,2.5,,10,132,1
801,0.98,4.87,6.24,,1.23,,1,142.5,6
801,0.98,4.87,6.24,,1.23,,10,120,6
801,0.98,4.87,6.24,,1.23,,20,108.75,6
801,0.98,4.87,6.24,,1.23,,30,101.25,6
1127,,,3.5,,,,1,106,6
1127,,,3.5,,,,2,101.25,6
1127,,,3.5,,,,3,97.5,6
1127,,,3.5,,,,5,93.75,6
1127,,,3.5,,,,10,90,6
1275,,4.4,4.5,,,,1,146.25,6
1275,,4.4,4.5,,,,2,137.75,6
1275,,4.4,4.5,,,,3,137.75,6
1275,,4.4,4.5,,,,5,135,6
1275,,4.4,4.5,,,,10,130.75,6
2282,,,7.7,,2.8,,1,166,6
2282,,,7.7,,2.8,,2,157.5,6
2282,,,7.7,,2.8,,3,149,6
2282,,,7.7,,2.8,,5,143.5,6
2282,,,7.7,,2.8,,10,132,6
1968,,3.2,6.9,,1.7,,1,210,6
1968,,3.2,6.9,,1.7,,2,206.5,6
1968,,3.2,6.9,,1.7,,3,197,6
1968,,3.2,6.9,,1.7,,5,197,6
1968,,3.2,6.9,,1.7,,10,197,6
330,,,6.42,,5.06,,0.05,160,1
550,,,7.73,,8.67,,0.05,161,1
763,,,12.76,,12.64,,0.05,167,1
742,,,12.36,,13.28,,0.05,180,1
554,,,13.12,,12.98,,0.05,168,1
330,,,6.42,,5.06,,1,142,1
550,,,7.73,,8.67,,1,142,1
763,,,12.76,,12.64,,1,145,1
742,,,12.36,,13.28,,1,157,1
554,,,13.12,,12.98,,1,147,1
197.9,,5.6,10.2,,3.3,,2,168.8,6
445.1,,4,8.4,,2.1,,2,183.8,6
380.2,,4,9.8,,2.9,,2,127.2,6
462.3,,5,3.6,,,,2,61,6
49.7,,4.2,3.9,,,,2,27,6
22.4,,3.9,4.4,,,,2,20,6
223,1.45,,13.78,,,,0.5,4,1
223,1.45,,13.78,,,,1,3,1
223,1.45,,13.78,,,,5,2,1
223,1.45,,13.78,,,,10,1,1
786,1.24,,14.39,,1.73,,0.5,43,1
786,1.24,,14.39,,1.73,,1,41,1
786,1.24,,14.39,,1.73,,5,33,1
786,1.24,,14.39,,1.73,,10,23,1
786,1.24,,14.39,,1.73,,20,16,1
786,1.24,,14.39,,1.73,,30,10,1
945,,,12.44,,2.57,,0.5,68,1
945,,,12.44,,2.57,,1,67,1
945,,,12.44,,2.57,,5,57,1
945,,,12.44,,2.57,,10,49,1
945,,,12.44,,2.57,,20,43,1
945,,,12.44,,2.57,,30,37,1
1450,1.13,,13.04,,1.93,,0.5,110,1
1450,1.13,,13.04,,1.93,,1,108,1
1450,1.13,,13.04,,1.93,,5,106,1
1450,1.13,,13.04,,1.93,,10,101,1
1450,1.13,,13.04,,1.93,,20,97,1
1450,1.13,,13.04,,1.93,,30,93,1
1300,1.15,,10.91,,1.42,,0.5,84,1
1300,1.15,,10.91,,1.42,,1,83,1
1300,1.15,,10.91,,1.42,,5,82,1
1300,1.15,,10.91,,1.42,,10,76,1
1300,1.15,,10.91,,1.42,,20,73,1
1300,1.15,,10.91,,1.42,,30,69,1
908,2.6,3.7,11.95,,2.5,,0.5,174,6
908,2.6,3.7,11.95,,2.5,,1,168,6
908,2.6,3.7,11.95,,2.5,,2,165,6
908,2.6,3.7,11.95,,2.5,,4,157,6
908,2.6,3.7,11.95,,2.5,,8,153,6
908,2.6,3.7,11.95,,2.5,,10,151,6
908,2.6,3.7,11.95,,2.5,,20,146,6
908,2.6,3.7,11.95,,2.5,,30,142,6
908,2.6,3.7,11.95,,2.5,,40,132,6
908,2.6,3.7,11.95,,2.5,,50,126,6
1375,2.8,2.46,7.06,,1.41,,0.5,232,6
1375,2.8,2.46,7.06,,1.41,,1,215,6
1375,2.8,2.46,7.06,,1.41,,2,206,6
1375,2.8,2.46,7.06,,1.41,,4,197,6
1375,2.8,2.46,7.06,,1.41,,8,187,6
1375,2.8,2.46,7.06,,1.41,,10,186,6
1375,2.8,2.46,7.06,,1.41,,20,174,6
1375,2.8,2.46,7.06,,1.41,,30,163,6
1375,2.8,2.46,7.06,,1.41,,40,156,6
1375,2.8,2.46,7.06,,1.41,,50,144,6
1294,,2.19,8.08,,2.9,,0.5,197,6
1294,,2.19,8.08,,2.9,,1,186,6
1294,,2.19,8.08,,2.9,,2,180,6
1294,,2.19,8.08,,2.9,,4,173,6
1294,,2.19,8.08,,2.9,,8,167,6
1294,,2.19,8.08,,2.9,,10,164,6
1294,,2.19,8.08,,2.9,,20,156,6
1294,,2.19,8.08,,2.9,,30,148,6
1294,,2.19,8.08,,2.9,,40,143,6
1294,,2.19,8.08,,2.9,,50,131,6
1877,2.9,1.21,6.59,,1.56,,0.5,302,6
1877,2.9,1.21,6.59,,1.56,,1,266,6
1877,2.9,1.21,6.59,,1.56,,2,248,6
1877,2.9,1.21,6.59,,1.56,,4,236,6
1877,2.9,1.21,6.59,,1.56,,8,229,6
1877,2.9,1.21,6.59,,1.56,,10,223,6
1877,2.9,1.21,6.59,,1.56,,20,214,6
1877,2.9,1.21,6.59,,1.56,,30,206,6
1877,2.9,1.21,6.59,,1.56,,40,198,6
1877,2.9,1.21,6.59,,1.56,,50,188,6
1176,,1.47,5.89,,0.33,,0.5,229,6
1176,,1.47,5.89,,0.33,,1,222,6
1176,,1.47,5.89,,0.33,,2,218,6
1176,,1.47,5.89,,0.33,,4,212,6
1176,,1.47,5.89,,0.33,,8,204,6
1176,,1.47,5.89,,0.33,,10,202,6
1176,,1.47,5.89,,0.33,,20,194,6
1176,,1.47,5.89,,0.33,,30,185,6
1176,,1.47,5.89,,0.33,,40,172,6
1176,,1.47,5.89,,0.33,,50,165,6
2024,3.1,0.86,7.37,,0.53,,0.5,273,6
2024,3.1,0.86,7.37,,0.53,,1,252,6
2024,3.1,0.86,7.37,,0.53,,2,233,6
2024,3.1,0.86,7.37,,0.53,,4,220,6
2024,3.1,0.86,7.37,,0.53,,8,211,6
2024,3.1,0.86,7.37,,0.53,,10,210,6
